CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.44] [-0.01] [9.82] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-0.40] [9.82] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-0.40] [9.82] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-0.40] [9.82] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-0.76] [9.79] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-0.76] [9.79] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.45] [-0.76] [9.79] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.47] [-1.10] [9.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.47] [-1.10] [9.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.47] [-1.10] [9.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.48] [-1.97] [9.62] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.48] [-1.97] [9.62] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.48] [-1.97] [9.62] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.49] [-2.42] [9.52] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.49] [-2.42] [9.52] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.49] [-2.42] [9.52] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-2.81] [9.42] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-2.81] [9.42] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.50] [-2.81] [9.42] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.51] [-3.16] [9.30] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.51] [-3.16] [9.30] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.51] [-3.16] [9.30] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.52] [-3.82] [9.04] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.52] [-3.82] [9.04] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.52] [-3.82] [9.04] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.53] [-4.18] [8.89] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.53] [-4.18] [8.89] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.53] [-4.18] [8.89] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.54] [-4.51] [8.72] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.54] [-4.51] [8.72] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.54] [-4.51] [8.72] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.55] [-4.84] [8.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.55] [-4.84] [8.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.55] [-4.84] [8.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.55] [-5.50] [8.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.55] [-5.50] [8.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.55] [-5.50] [8.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-5.84] [7.88] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-5.84] [7.88] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-5.84] [7.88] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.57] [-6.19] [7.62] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.57] [-6.19] [7.62] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.57] [-6.19] [7.62] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-6.51] [7.35] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-6.51] [7.35] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-6.51] [7.35] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-7.03] [6.84] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-7.03] [6.84] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-7.03] [6.84] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.28] [6.56] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.28] [6.56] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.28] [6.56] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.54] [6.29] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.54] [6.29] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.54] [6.29] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.74] [6.02] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.74] [6.02] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-7.74] [6.02] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.60] [-8.14] [5.46] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.14] [5.46] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.14] [5.46] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.34] [5.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.34] [5.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.34] [5.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.56] [4.77] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.56] [4.77] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.56] [4.77] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.78] [4.38] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.78] [4.38] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-8.78] [4.38] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.08] [3.69] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.08] [3.69] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.08] [3.69] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.20] [3.36] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.20] [3.36] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.20] [3.36] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.31] [3.03] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.31] [3.03] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.31] [3.03] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.42] [2.67] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.42] [2.67] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.42] [2.67] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.60] [1.96] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.60] [1.96] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.60] [1.96] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.66] [1.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.66] [1.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.66] [1.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.60] [-9.69] [1.30] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
