CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.47] [2.30] [9.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [10.38] [-0.06] [-0.21] [Integral G] X:6128.13 Y:-8727.07 Z:5592.42 | PC:15.00
[Immediate] [10.36] [-0.64] [-0.12] [Integral G] X:7175.44 Y:-8768.57 Z:5570.59 | PC:16.00
[Immediate] [10.34] [-0.88] [0.29] [Integral G] X:8220.74 Y:-8842.61 Z:5577.74 | PC:16.00
[Immediate] [10.00] [-2.08] [1.75] [Integral G] X:9253.49 Y:-8986.41 Z:5666.45 | PC:16.00
[Immediate] [8.89] [-2.53] [4.48] [Integral G] X:10207.19 Y:-9242.76 Z:5988.47 | PC:17.00
[Immediate] [8.08] [-1.61] [6.12] [Integral G] X:11060.41 Y:-9450.98 Z:6537.29 | PC:17.00
[Immediate] [6.18] [0.12] [8.05] [Integral G] X:11790.28 Y:-9523.38 Z:7255.98 | PC:17.00
[Immediate] [2.59] [2.76] [9.19] [Integral G] X:12223.02 Y:-9374.27 Z:8150.22 | PC:18.00
[Immediate] [-0.73] [4.31] [8.72] [Integral G] X:12292.57 Y:-8994.55 Z:9059.29 | PC:18.00
[Immediate] [-3.79] [5.63] [6.74] [Integral G] X:12047.84 Y:-8477.90 Z:9839.75 | PC:18.00
[Immediate] [-6.83] [4.99] [4.11] [Integral G] X:11492.78 Y:-7929.26 Z:10363.45 | PC:19.00
[Immediate] [-8.77] [2.75] [1.57] [Integral G] X:10678.66 Y:-7542.13 Z:10617.99 | PC:19.00
[Immediate] [-9.27] [-0.85] [-0.19] [Integral G] X:9750.76 Y:-7437.56 Z:10669.70 | PC:19.00
[Immediate] [-8.28] [-4.34] [-0.37] [Integral G] X:8846.98 Y:-7681.56 Z:10628.23 | PC:20.00
[Immediate] [-5.85] [-7.48] [-0.32] [Integral G] X:8117.82 Y:-8263.15 Z:10592.06 | PC:20.00
[Immediate] [-2.34] [-9.33] [0.68] [Integral G] X:7684.27 Y:-9117.67 Z:10604.93 | PC:20.00
[Immediate] [1.37] [-9.72] [0.81] [Integral G] X:7623.62 Y:-10090.60 Z:10680.65 | PC:21.00
[Immediate] [4.97] [-8.69] [0.75] [Integral G] X:7936.15 Y:-11034.33 Z:10762.06 | PC:21.00
[Immediate] [8.01] [-6.31] [0.52] [Integral G] X:8592.01 Y:-11807.75 Z:10827.56 | PC:21.00
[Immediate] [9.92] [-2.90] [0.19] [Integral G] X:9506.28 Y:-12284.60 Z:10864.14 | PC:22.00
[Immediate] [10.35] [0.74] [-0.13] [Integral G] X:10541.59 Y:-12395.64 Z:10866.88 | PC:22.00
[Immediate] [9.45] [4.20] [-0.04] [Integral G] X:11552.46 Y:-12144.89 Z:10850.83 | PC:22.00
[Immediate] [7.07] [7.17] [1.59] [Integral G] X:12397.04 Y:-11558.78 Z:10917.62 | PC:23.00
[Immediate] [4.05] [8.25] [3.92] [Integral G] X:12951.72 Y:-10758.93 Z:11196.26 | PC:23.00
[Immediate] [1.51] [7.40] [6.34] [Integral G] X:13226.57 Y:-9945.23 Z:11704.42 | PC:23.00
[Immediate] [-1.34] [5.23] [8.08] [Integral G] X:13234.03 Y:-9317.53 Z:12458.38 | PC:24.00
[Immediate] [-4.14] [2.03] [8.37] [Integral G] X:12938.21 Y:-8955.58 Z:13300.40 | PC:24.00
[Immediate] [-5.79] [-0.55] [7.46] [Integral G] X:12422.47 Y:-8896.74 Z:14102.03 | PC:24.00
[Immediate] [-7.15] [-2.35] [5.62] [Integral G] X:11762.97 Y:-9066.41 Z:14761.54 | PC:25.00
[Immediate] [-8.14] [-3.18] [3.32] [Integral G] X:10977.49 Y:-9357.06 Z:15194.82 | PC:25.00
[Immediate] [-8.51] [-3.52] [1.59] [Integral G] X:10131.75 Y:-9700.02 Z:15429.00 | PC:25.00
[Immediate] [-8.77] [-3.23] [0.23] [Integral G] X:9258.63 Y:-10044.12 Z:15511.36 | PC:26.00
[Immediate] [-9.07] [-2.09] [-0.72] [Integral G] X:8354.48 Y:-10305.02 Z:15478.49 | PC:26.00
[Immediate] [-9.11] [-1.55] [-1.34] [Integral G] X:7434.98 Y:-10483.34 Z:15380.48 | PC:26.00
[Immediate] [-9.14] [-0.89] [-1.68] [Integral G] X:6514.47 Y:-10614.03 Z:15224.80 | PC:27.00
[Immediate] [-9.11] [-0.20] [-1.99] [Integral G] X:5591.52 Y:-10673.36 Z:15045.00 | PC:27.00
[Immediate] [-8.84] [1.03] [-2.89] [Integral G] X:4680.44 Y:-10643.71 Z:14805.26 | PC:27.00
[Immediate] [-8.24] [3.17] [-3.26] [Integral G] X:3815.47 Y:-10438.75 Z:14483.43 | PC:28.00
[Immediate] [-7.62] [5.01] [-2.36] [Integral G] X:3009.44 Y:-10033.05 Z:14193.64 | PC:28.00
[Immediate] [-5.88] [7.42] [-0.57] [Integral G] X:2312.02 Y:-9411.27 Z:14025.59 | PC:28.00
[Immediate] [-3.36] [8.67] [2.42] [Integral G] X:1843.61 Y:-8582.64 Z:14112.10 | PC:29.00
[Immediate] [-0.94] [8.23] [5.12] [Integral G] X:1623.53 Y:-7723.12 Z:14502.45 | PC:29.00
[Immediate] [2.06] [6.12] [7.49] [Integral G] X:1673.09 Y:-6987.02 Z:15150.30 | PC:29.00
[Immediate] [5.29] [3.57] [7.81] [Integral G] X:2051.10 Y:-6494.86 Z:15937.30 | PC:30.00
[Immediate] [7.93] [1.87] [6.22] [Integral G] X:2725.93 Y:-6232.12 Z:16658.84 | PC:30.00
[Immediate] [9.89] [0.66] [3.00] [Integral G] X:3638.72 Y:-6104.70 Z:17128.13 | PC:30.00
[Immediate] [10.34] [0.35] [-0.81] [Integral G] X:4675.46 Y:-6068.77 Z:17225.34 | PC:31.00
[Immediate] [9.35] [0.79] [-4.28] [Integral G] X:5677.42 Y:-6010.52 Z:16954.58 | PC:31.00
[Immediate] [6.85] [1.27] [-7.41] [Integral G] X:6498.17 Y:-5905.30 Z:16344.54 | PC:31.00
[Immediate] [3.23] [1.66] [-9.31] [Integral G] X:6993.72 Y:-5752.44 Z:15476.90 | PC:32.00
[Immediate] [-0.58] [1.62] [-9.66] [Integral G] X:7105.72 Y:-5584.89 Z:14505.12 | PC:32.00
[Immediate] [-4.30] [1.33] [-8.52] [Integral G] X:6833.87 Y:-5435.77 Z:13581.35 | PC:32.00
[Immediate] [-7.40] [0.80] [-5.85] [Integral G] X:6211.71 Y:-5330.61 Z:12863.67 | PC:33.00
[Immediate] [-9.01] [0.17] [-2.48] [Integral G] X:5357.80 Y:-5286.61 Z:12467.77 | PC:33.00
[Immediate] [-9.20] [-0.35] [1.37] [Integral G] X:4423.68 Y:-5300.41 Z:12413.95 | PC:33.00
[Immediate] [-8.03] [0.10] [4.77] [Integral G] X:3537.33 Y:-5329.94 Z:12707.64 | PC:34.00
[Immediate] [-6.12] [1.94] [6.92] [Integral G] X:2812.39 Y:-5242.84 Z:13301.99 | PC:34.00
[Immediate] [-3.95] [4.19] [7.62] [Integral G] X:2291.37 Y:-4943.86 Z:14043.06 | PC:34.00
[Immediate] [-0.96] [6.92] [6.78] [Integral G] X:2026.81 Y:-4394.63 Z:14790.35 | PC:35.00
[Immediate] [1.94] [8.56] [4.51] [Integral G] X:2076.83 Y:-3613.32 Z:15382.99 | PC:35.00
[Immediate] [4.14] [9.03] [1.28] [Integral G] X:2381.87 Y:-2709.71 Z:15674.66 | PC:35.00
