CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2579.43 Y:1268.22 Z:-1397.15 | PC:14
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2640.04 Y:1298.02 Z:-1429.97 | PC:14
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2700.65 Y:1327.82 Z:-1462.79 | PC:14
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2761.26 Y:1357.62 Z:-1495.61 | PC:15
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2821.87 Y:1387.42 Z:-1528.43 | PC:15
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2882.48 Y:1417.22 Z:-1561.25 | PC:15
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2943.09 Y:1447.02 Z:-1594.07 | PC:16
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3003.70 Y:1476.82 Z:-1626.89 | PC:16
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3064.31 Y:1506.62 Z:-1659.71 | PC:16
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3124.92 Y:1536.42 Z:-1692.53 | PC:17
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3185.53 Y:1566.22 Z:-1725.35 | PC:17
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3246.14 Y:1596.02 Z:-1758.17 | PC:17
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3306.75 Y:1625.82 Z:-1790.99 | PC:18
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3367.36 Y:1655.61 Z:-1823.81 | PC:18
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3427.97 Y:1685.41 Z:-1856.63 | PC:18
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3488.58 Y:1715.21 Z:-1889.45 | PC:19
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3549.19 Y:1745.01 Z:-1922.27 | PC:19
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3609.80 Y:1774.81 Z:-1955.09 | PC:19
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3670.41 Y:1804.61 Z:-1987.91 | PC:20
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3731.02 Y:1834.41 Z:-2020.73 | PC:20
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3791.62 Y:1864.21 Z:-2053.55 | PC:20
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3852.23 Y:1894.01 Z:-2086.37 | PC:21
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3912.84 Y:1923.81 Z:-2119.19 | PC:21
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3973.45 Y:1953.61 Z:-2152.01 | PC:21
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4034.06 Y:1983.41 Z:-2184.83 | PC:22
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4094.67 Y:2013.21 Z:-2217.65 | PC:22
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4155.28 Y:2043.01 Z:-2250.47 | PC:23
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4215.89 Y:2072.80 Z:-2283.29 | PC:23
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4276.50 Y:2102.58 Z:-2316.11 | PC:23
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4337.11 Y:2132.37 Z:-2348.93 | PC:24
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4397.72 Y:2162.16 Z:-2381.75 | PC:24
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4458.33 Y:2191.94 Z:-2414.57 | PC:24
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4518.94 Y:2221.73 Z:-2447.39 | PC:25
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4579.55 Y:2251.52 Z:-2480.21 | PC:25
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4640.16 Y:2281.31 Z:-2513.03 | PC:25
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4700.77 Y:2311.09 Z:-2545.85 | PC:26
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4761.38 Y:2340.88 Z:-2578.67 | PC:26
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4821.99 Y:2370.67 Z:-2611.49 | PC:26
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4882.60 Y:2400.45 Z:-2644.31 | PC:27
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:4943.21 Y:2430.24 Z:-2677.13 | PC:27
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5003.82 Y:2460.03 Z:-2709.95 | PC:27
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5064.43 Y:2489.82 Z:-2742.77 | PC:28
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5125.04 Y:2519.60 Z:-2775.59 | PC:28
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5185.65 Y:2549.39 Z:-2808.41 | PC:28
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5246.26 Y:2579.18 Z:-2841.23 | PC:29
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5306.87 Y:2608.96 Z:-2874.05 | PC:29
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5367.48 Y:2638.75 Z:-2906.87 | PC:29
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5428.09 Y:2668.54 Z:-2939.69 | PC:30
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5488.70 Y:2698.33 Z:-2972.51 | PC:30
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5549.31 Y:2728.11 Z:-3005.33 | PC:30
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5609.92 Y:2757.90 Z:-3038.15 | PC:31
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5670.53 Y:2787.69 Z:-3070.97 | PC:31
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5731.14 Y:2817.47 Z:-3103.79 | PC:31
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5791.75 Y:2847.26 Z:-3136.61 | PC:32
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5852.36 Y:2877.05 Z:-3169.43 | PC:32
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5912.97 Y:2906.84 Z:-3202.25 | PC:32
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:5973.58 Y:2936.62 Z:-3235.07 | PC:33
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6034.19 Y:2966.41 Z:-3267.89 | PC:33
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6094.80 Y:2996.20 Z:-3300.71 | PC:33
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6155.41 Y:3025.98 Z:-3333.53 | PC:34
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6216.02 Y:3055.77 Z:-3366.35 | PC:34
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6276.63 Y:3085.56 Z:-3399.17 | PC:34
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6337.24 Y:3115.35 Z:-3431.99 | PC:35
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6397.85 Y:3145.13 Z:-3464.81 | PC:35
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6458.46 Y:3174.92 Z:-3497.63 | PC:35
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6519.07 Y:3204.71 Z:-3530.45 | PC:36
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6579.68 Y:3234.49 Z:-3563.27 | PC:36
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6640.29 Y:3264.28 Z:-3596.09 | PC:36
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6700.90 Y:3294.07 Z:-3628.91 | PC:37
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6761.51 Y:3323.85 Z:-3661.73 | PC:37
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6822.12 Y:3353.64 Z:-3694.55 | PC:37
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6882.73 Y:3383.43 Z:-3727.37 | PC:38
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:6943.34 Y:3413.22 Z:-3760.19 | PC:38
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7003.95 Y:3443.00 Z:-3793.01 | PC:38
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7064.56 Y:3472.79 Z:-3825.83 | PC:39
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7125.17 Y:3502.58 Z:-3858.65 | PC:39
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7185.78 Y:3532.36 Z:-3891.47 | PC:39
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7246.39 Y:3562.15 Z:-3924.29 | PC:40
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7307.00 Y:3591.94 Z:-3957.11 | PC:40
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7367.61 Y:3621.73 Z:-3989.93 | PC:40
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7428.22 Y:3651.51 Z:-4022.75 | PC:41
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7488.83 Y:3681.30 Z:-4055.57 | PC:41
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7549.44 Y:3711.09 Z:-4088.39 | PC:41
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7610.05 Y:3740.87 Z:-4121.23 | PC:42
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7670.66 Y:3770.66 Z:-4154.08 | PC:42
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7731.27 Y:3800.45 Z:-4186.92 | PC:42
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7791.88 Y:3830.24 Z:-4219.76 | PC:43
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7852.49 Y:3860.02 Z:-4252.61 | PC:43
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7913.10 Y:3889.81 Z:-4285.45 | PC:43
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:7973.71 Y:3919.60 Z:-4318.30 | PC:44
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8034.32 Y:3949.38 Z:-4351.14 | PC:44
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8094.93 Y:3979.17 Z:-4383.99 | PC:44
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8155.54 Y:4008.96 Z:-4416.83 | PC:45
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8216.12 Y:4038.75 Z:-4449.68 | PC:45
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8276.69 Y:4068.53 Z:-4482.52 | PC:45
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8337.25 Y:4098.32 Z:-4515.37 | PC:46
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8397.81 Y:4128.11 Z:-4548.21 | PC:46
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8458.37 Y:4157.89 Z:-4581.06 | PC:46
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8518.93 Y:4187.68 Z:-4613.90 | PC:47
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8579.49 Y:4217.47 Z:-4646.75 | PC:47
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8640.05 Y:4247.26 Z:-4679.59 | PC:47
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8700.61 Y:4277.04 Z:-4712.44 | PC:48
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8761.17 Y:4306.83 Z:-4745.28 | PC:48
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8821.73 Y:4336.62 Z:-4778.12 | PC:48
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8882.29 Y:4366.40 Z:-4810.97 | PC:49
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:8942.85 Y:4396.19 Z:-4843.81 | PC:49
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9003.41 Y:4425.98 Z:-4876.66 | PC:49
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9063.97 Y:4455.77 Z:-4909.50 | PC:50
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9124.53 Y:4485.55 Z:-4942.35 | PC:50
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9185.09 Y:4515.34 Z:-4975.19 | PC:50
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9245.65 Y:4545.13 Z:-5008.04 | PC:51
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9306.21 Y:4574.91 Z:-5040.88 | PC:51
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9366.78 Y:4604.70 Z:-5073.73 | PC:51
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9427.34 Y:4634.49 Z:-5106.57 | PC:52
