CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
[Immediate] [1.05] [-3.28] [9.22] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [9.66] [-3.40] [-1.26] [Integral G] X:-272.42 Y:614.72 Z:-9219.14 | PC:14
[Immediate] [10.01] [-2.63] [0.17] [Integral G] X:722.16 Y:307.38 Z:-9271.92 | PC:14
[Immediate] [9.94] [-2.54] [1.36] [Integral G] X:1731.78 Y:49.62 Z:-9197.72 | PC:14
[Immediate] [9.98] [-1.65] [2.22] [Integral G] X:2735.99 Y:-167.00 Z:-9011.32 | PC:15
[Immediate] [9.93] [-0.59] [2.88] [Integral G] X:3743.35 Y:-279.24 Z:-8755.45 | PC:15
[Immediate] [9.82] [0.68] [3.19] [Integral G] X:4740.74 Y:-277.48 Z:-8443.76 | PC:15
[Immediate] [9.68] [2.08] [3.02] [Integral G] X:5726.57 Y:-140.24 Z:-8126.48 | PC:16
[Immediate] [9.35] [3.55] [2.58] [Integral G] X:6691.53 Y:140.12 Z:-7844.41 | PC:16
[Immediate] [8.24] [5.90] [1.66] [Integral G] X:7584.42 Y:614.73 Z:-7617.66 | PC:16
[Immediate] [6.93] [7.45] [-0.64] [Integral G] X:8347.09 Y:1300.59 Z:-7556.02 | PC:17
[Immediate] [5.58] [7.84] [-3.08] [Integral G] X:8984.09 Y:2075.38 Z:-7752.89 | PC:17
[Immediate] [2.78] [7.34] [-6.14] [Integral G] X:9416.31 Y:2853.27 Z:-8221.21 | PC:17
[Immediate] [-1.05] [5.02] [-8.37] [Integral G] X:9490.39 Y:3487.18 Z:-8973.19 | PC:18
[Immediate] [-3.93] [2.75] [-8.38] [Integral G] X:9222.09 Y:3867.14 Z:-9830.77 | PC:18
[Immediate] [-6.50] [0.57] [-6.93] [Integral G] X:8685.38 Y:4031.24 Z:-10611.56 | PC:18
[Immediate] [-8.55] [-0.53] [-3.83] [Integral G] X:7908.25 Y:4017.03 Z:-11151.91 | PC:19
[Immediate] [-9.30] [-0.32] [-0.32] [Integral G] X:6992.32 Y:3967.49 Z:-11343.33 | PC:19
[Immediate] [-8.78] [0.85] [2.95] [Integral G] X:6071.54 Y:3997.98 Z:-11190.78 | PC:19
[Immediate] [-7.00] [2.48] [5.75] [Integral G] X:5273.65 Y:4164.12 Z:-10727.21 | PC:20
[Immediate] [-3.96] [4.34] [7.53] [Integral G] X:4728.54 Y:4541.21 Z:-10046.11 | PC:20
[Immediate] [-0.10] [5.07] [8.36] [Integral G] X:4545.63 Y:5027.60 Z:-9226.37 | PC:20
[Immediate] [3.71] [5.32] [7.61] [Integral G] X:4756.99 Y:5554.27 Z:-8410.10 | PC:21
[Immediate] [6.98] [5.04] [5.47] [Integral G] X:5325.29 Y:6085.36 Z:-7757.62 | PC:21
[Immediate] [9.65] [2.62] [2.66] [Integral G] X:6181.22 Y:6480.39 Z:-7339.19 | PC:21
[Immediate] [10.37] [0.01] [-0.28] [Integral G] X:7201.32 Y:6630.55 Z:-7199.46 | PC:22
[Immediate] [9.56] [-2.43] [-3.00] [Integral G] X:8223.83 Y:6517.52 Z:-7354.30 | PC:22
[Immediate] [7.50] [-4.15] [-5.52] [Integral G] X:9106.53 Y:6184.97 Z:-7770.48 | PC:22
[Immediate] [4.24] [-4.04] [-8.15] [Integral G] X:9722.87 Y:5749.32 Z:-8447.89 | PC:23
[Immediate] [0.92] [-2.58] [-9.48] [Integral G] X:9990.66 Y:5395.06 Z:-9342.08 | PC:23
[Immediate] [-1.74] [-0.37] [-9.59] [Integral G] X:9957.48 Y:5226.17 Z:-10312.98 | PC:23
[Immediate] [-4.60] [2.31] [-8.12] [Integral G] X:9648.00 Y:5331.91 Z:-11226.46 | PC:24
[Immediate] [-6.88] [3.72] [-5.32] [Integral G] X:9064.35 Y:5638.10 Z:-11920.91 | PC:24
[Immediate] [-8.09] [3.92] [-2.75] [Integral G] X:8305.20 Y:6034.01 Z:-12330.51 | PC:24
[Immediate] [-8.93] [2.59] [-0.75] [Integral G] X:7445.16 Y:6378.04 Z:-12502.33 | PC:25
[Immediate] [-9.25] [1.00] [0.14] [Integral G] X:6523.16 Y:6553.39 Z:-12523.62 | PC:25
[Immediate] [-9.28] [0.51] [0.40] [Integral G] X:5586.57 Y:6624.03 Z:-12495.67 | PC:25
[Immediate] [-9.29] [-0.48] [-0.32] [Integral G] X:4648.73 Y:6634.98 Z:-12474.38 | PC:26
[Immediate] [-9.24] [-0.58] [-1.26] [Integral G] X:3714.24 Y:6567.62 Z:-12571.07 | PC:26
[Immediate] [-9.29] [-0.16] [-0.48] [Integral G] X:2778.14 Y:6537.13 Z:-12660.45 | PC:26
[Immediate] [-9.30] [0.13] [-0.55] [Integral G] X:1839.28 Y:6531.67 Z:-12703.64 | PC:27
[Immediate] [-9.30] [0.22] [-0.31] [Integral G] X:900.11 Y:6558.32 Z:-12756.03 | PC:27
[Immediate] [-9.25] [-1.02] [0.17] [Integral G] X:-37.76 Y:6522.04 Z:-12756.18 | PC:27
[Immediate] [-8.99] [-2.46] [-0.36] [Integral G] X:-958.37 Y:6335.86 Z:-12760.07 | PC:28
[Immediate] [-8.64] [-3.21] [-1.53] [Integral G] X:-1850.73 Y:6050.35 Z:-12853.60 | PC:28
[Immediate] [-7.40] [-4.17] [-4.11] [Integral G] X:-2664.22 Y:5665.13 Z:-13135.00 | PC:28
[Immediate] [-5.63] [-3.62] [-6.80] [Integral G] X:-3314.37 Y:5259.31 Z:-13703.78 | PC:29
[Immediate] [-3.80] [-1.74] [-8.69] [Integral G] X:-3785.71 Y:4993.35 Z:-14502.69 | PC:29
[Immediate] [-1.03] [1.07] [-9.68] [Integral G] X:-4024.54 Y:4956.61 Z:-15446.10 | PC:29
[Immediate] [2.28] [3.79] [-8.91] [Integral G] X:-3941.47 Y:5230.15 Z:-16393.83 | PC:30
[Immediate] [5.48] [4.86] [-6.96] [Integral G] X:-3530.39 Y:5682.79 Z:-17195.16 | PC:30
[Immediate] [8.51] [3.98] [-4.18] [Integral G] X:-2797.28 Y:6136.09 Z:-17747.57 | PC:30
[Immediate] [10.15] [1.72] [-1.08] [Integral G] X:-1828.56 Y:6421.82 Z:-17978.21 | PC:31
[Immediate] [10.23] [-1.88] [1.15] [Integral G] X:-786.43 Y:6414.88 Z:-17969.82 | PC:31
[Immediate] [8.44] [-5.08] [2.83] [Integral G] X:174.25 Y:6081.02 Z:-17774.88 | PC:31
[Immediate] [5.50] [-7.59] [3.71] [Integral G] X:902.39 Y:5448.25 Z:-17440.06 | PC:32
[Immediate] [2.05] [-8.73] [4.16] [Integral G] X:1304.74 Y:4618.86 Z:-17043.22 | PC:32
[Immediate] [-1.74] [-8.60] [4.08] [Integral G] X:1342.95 Y:3731.93 Z:-16621.24 | PC:32
[Immediate] [-5.30] [-7.12] [3.37] [Integral G] X:998.72 Y:2919.93 Z:-16236.68 | PC:33
[Immediate] [-7.71] [-4.76] [2.38] [Integral G] X:341.25 Y:2305.26 Z:-15941.58 | PC:33
[Immediate] [-9.06] [-1.90] [1.05] [Integral G] X:-508.73 Y:1957.15 Z:-15755.15 | PC:33
[Immediate] [-9.18] [1.05] [-1.17] [Integral G] X:-1440.52 Y:1908.40 Z:-15745.43 | PC:34
[Immediate] [-8.20] [2.31] [-3.99] [Integral G] X:-2327.66 Y:2091.65 Z:-15996.55 | PC:34
[Immediate] [-6.55] [1.96] [-6.60] [Integral G] X:-3083.75 Y:2320.42 Z:-16524.55 | PC:34
[Immediate] [-3.87] [0.02] [-8.84] [Integral G] X:-3622.57 Y:2434.38 Z:-17310.46 | PC:35
[Immediate] [-1.07] [-2.95] [-9.26] [Integral G] X:-3872.33 Y:2301.52 Z:-18242.52 | PC:35
[Immediate] [1.30] [-5.69] [-7.97] [Integral G] X:-3861.79 Y:1856.50 Z:-19121.22 | PC:35
[Immediate] [3.88] [-7.37] [-5.52] [Integral G] X:-3601.19 Y:1185.85 Z:-19809.83 | PC:36
[Immediate] [5.47] [-8.11] [-2.33] [Integral G] X:-3114.49 Y:400.23 Z:-20211.68 | PC:36
[Immediate] [6.36] [-7.85] [0.62] [Integral G] X:-2520.09 Y:-418.34 Z:-20295.45 | PC:36
[Immediate] [7.56] [-6.21] [2.92] [Integral G] X:-1814.40 Y:-1132.36 Z:-20106.06 | PC:37
[Immediate] [7.86] [-4.26] [4.96] [Integral G] X:-1022.95 Y:-1652.12 Z:-19703.71 | PC:37
[Immediate] [7.71] [-2.02] [6.40] [Integral G] X:-242.97 Y:-1973.42 Z:-19114.32 | PC:37
[Immediate] [7.90] [0.67] [6.50] [Integral G] X:547.56 Y:-2034.74 Z:-18455.28 | PC:38
[Immediate] [7.56] [3.27] [6.05] [Integral G] X:1331.13 Y:-1828.50 Z:-17817.54 | PC:38
[Immediate] [7.07] [5.73] [4.59] [Integral G] X:2069.87 Y:-1363.84 Z:-17275.21 | PC:38
[Immediate] [6.27] [7.67] [2.23] [Integral G] X:2745.44 Y:-678.64 Z:-16929.58 | PC:39
[Immediate] [5.16] [8.62] [-0.91] [Integral G] X:3317.37 Y:157.37 Z:-16863.59 | PC:39
[Immediate] [3.98] [8.03] [-4.50] [Integral G] X:3778.82 Y:1006.94 Z:-17151.77 | PC:39
[Immediate] [2.59] [5.86] [-7.62] [Integral G] X:4103.10 Y:1707.28 Z:-17792.32 | PC:40
[Immediate] [0.62] [2.84] [-9.44] [Integral G] X:4260.31 Y:2136.19 Z:-18676.11 | PC:40
[Immediate] [-2.01] [-0.80] [-9.50] [Integral G] X:4177.29 Y:2215.51 Z:-19650.20 | PC:40
[Immediate] [-4.27] [-3.46] [-7.90] [Integral G] X:3839.54 Y:1971.32 Z:-20525.75 | PC:41
[Immediate] [-6.19] [-4.46] [-5.70] [Integral G] X:3300.09 Y:1553.22 Z:-21203.00 | PC:41
[Immediate] [-8.10] [-3.84] [-2.79] [Integral G] X:2560.84 Y:1119.06 Z:-21607.17 | PC:41
[Immediate] [-9.13] [-1.39] [-0.50] [Integral G] X:1674.28 Y:847.72 Z:-21754.73 | PC:42
[Immediate] [-9.14] [1.66] [0.58] [Integral G] X:738.98 Y:833.76 Z:-21754.88 | PC:42
[Immediate] [-7.59] [5.47] [0.73] [Integral G] X:-128.54 Y:1170.26 Z:-21672.20 | PC:42
[Immediate] [-4.90] [8.18] [-0.10] [Integral G] X:-779.12 Y:1857.85 Z:-21638.50 | PC:43
[Immediate] [-1.44] [9.58] [-0.40] [Integral G] X:-1124.80 Y:2757.53 Z:-21662.28 | PC:43
[Immediate] [2.72] [9.53] [-0.81] [Integral G] X:-1080.14 Y:3737.85 Z:-21728.48 | PC:43
[Immediate] [6.36] [7.88] [-0.75] [Integral G] X:-626.89 Y:4633.41 Z:-21809.36 | PC:44
[Immediate] [8.91] [5.15] [-0.48] [Integral G] X:143.79 Y:5308.53 Z:-21873.16 | PC:44
[Immediate] [10.27] [1.46] [-0.12] [Integral G] X:1119.50 Y:5661.62 Z:-21904.91 | PC:44
[Immediate] [10.01] [-2.60] [0.18] [Integral G] X:2158.76 Y:5612.60 Z:-21900.75 | PC:45
[Immediate] [8.35] [-5.91] [-0.17] [Integral G] X:3098.48 Y:5181.96 Z:-21890.36 | PC:45
[Immediate] [5.57] [-8.22] [-1.70] [Integral G] X:3816.54 Y:4463.55 Z:-21972.51 | PC:45
[Immediate] [2.00] [-9.10] [-3.32] [Integral G] X:4204.61 Y:3574.47 Z:-22218.31 | PC:46
[Immediate] [-0.78] [-8.41] [-4.85] [Integral G] X:4260.98 Y:2681.16 Z:-22633.90 | PC:46
[Immediate] [-3.25] [-6.11] [-6.76] [Integral G] X:4062.26 Y:1934.85 Z:-23226.05 | PC:46
[Immediate] [-5.94] [-3.42] [-6.62] [Integral G] X:3596.18 Y:1446.82 Z:-23912.28 | PC:47
[Immediate] [-7.79] [-0.76] [-5.27] [Integral G] X:2891.94 Y:1250.65 Z:-24521.81 | PC:47
[Immediate] [-8.79] [0.53] [-3.19] [Integral G] X:2049.89 Y:1251.74 Z:-24952.07 | PC:47
[Immediate] [-9.26] [0.33] [-0.86] [Integral G] X:1132.78 Y:1306.31 Z:-25150.42 | PC:48
[Immediate] [-9.28] [-0.52] [0.18] [Integral G] X:194.66 Y:1295.15 Z:-25170.71 | PC:48
[Immediate] [-9.21] [-1.33] [0.22] [Integral G] X:-739.58 Y:1199.01 Z:-25145.73 | PC:48
[Immediate] [-8.99] [-2.45] [-0.42] [Integral G] X:-1659.81 Y:1008.41 Z:-25151.35 | PC:49
[Immediate] [-8.68] [-3.00] [-1.81] [Integral G] X:-2548.50 Y:717.45 Z:-25268.67 | PC:49
[Immediate] [-8.66] [-2.15] [-2.84] [Integral G] X:-3417.80 Y:455.83 Z:-25510.56 | PC:50
[Immediate] [-8.61] [-0.90] [-3.60] [Integral G] X:-4290.15 Y:303.02 Z:-25841.82 | PC:50
[Immediate] [-8.59] [0.67] [-3.72] [Integral G] X:-5157.62 Y:297.00 Z:-26221.08 | PC:50
[Immediate] [-8.64] [2.07] [-2.97] [Integral G] X:-6028.03 Y:444.77 Z:-26560.84 | PC:51
[Immediate] [-8.67] [3.03] [-1.77] [Integral G] X:-6902.23 Y:714.51 Z:-26798.12 | PC:51
[Immediate] [-8.93] [2.68] [-0.27] [Integral G] X:-7790.33 Y:1015.52 Z:-26891.10 | PC:51
[Immediate] [-9.16] [1.55] [0.54] [Integral G] X:-8707.67 Y:1218.03 Z:-26864.66 | PC:52
[Immediate] [-9.23] [0.71] [0.75] [Integral G] X:-9636.82 Y:1330.50 Z:-26788.77 | PC:52
[Immediate] [-9.27] [-0.58] [-0.57] [Integral G] X:-10574.17 Y:1323.92 Z:-26777.28 | PC:52
[Immediate] [-8.86] [-0.66] [-2.93] [Integral G] X:-11493.55 Y:1241.72 Z:-26959.13 | PC:53
[Immediate] [-8.21] [0.55] [-4.56] [Integral G] X:-12362.86 Y:1221.78 Z:-27329.78 | PC:53
[Immediate] [-6.73] [2.73] [-6.12] [Integral G] X:-13136.20 Y:1362.11 Z:-27862.30 | PC:53
[Immediate] [-4.05] [5.92] [-6.46] [Integral G] X:-13699.52 Y:1786.89 Z:-28510.13 | PC:54
[Immediate] [-1.27] [8.08] [-5.35] [Integral G] X:-13981.04 Y:2496.35 Z:-29112.92 | PC:54
[Immediate] [2.24] [8.84] [-3.97] [Integral G] X:-13956.98 Y:3364.01 Z:-29580.36 | PC:54
[Immediate] [6.29] [7.83] [-1.38] [Integral G] X:-13536.18 Y:4226.66 Z:-29870.27 | PC:55
[Immediate] [9.00] [5.01] [-0.34] [Integral G] X:-12758.23 Y:4890.06 Z:-29937.06 | PC:55
[Immediate] [10.27] [1.47] [-0.09] [Integral G] X:-11777.64 Y:5231.68 Z:-29959.27 | PC:55
[Immediate] [10.01] [-2.52] [-0.48] [Integral G] X:-10738.79 Y:5185.89 Z:-29978.13 | PC:56
[Immediate] [8.21] [-5.95] [-1.35] [Integral G] X:-9804.75 Y:4754.56 Z:-30071.60 | PC:56
[Immediate] [5.34] [-8.33] [-1.84] [Integral G] X:-9109.70 Y:4026.96 Z:-30235.18 | PC:56
[Immediate] [1.73] [-9.51] [-2.01] [Integral G] X:-8745.85 Y:3116.24 Z:-30431.82 | PC:57
[Immediate] [-1.95] [-9.35] [-1.69] [Integral G] X:-8760.97 Y:2154.03 Z:-30625.72 | PC:57
[Immediate] [-4.92] [-8.14] [-0.63] [Integral G] X:-9113.63 Y:1263.15 Z:-30742.14 | PC:57
[Immediate] [-7.40] [-5.73] [0.63] [Integral G] X:-9742.97 Y:552.86 Z:-30738.44 | PC:58
[Immediate] [-8.94] [-2.54] [0.61] [Integral G] X:-10580.58 Y:135.25 Z:-30672.23 | PC:58
[Immediate] [-9.28] [0.41] [-0.39] [Integral G] X:-11510.08 Y:38.20 Z:-30650.47 | PC:58
[Immediate] [-8.62] [2.60] [-2.57] [Integral G] X:-12421.74 Y:201.61 Z:-30795.55 | PC:59
[Immediate] [-7.01] [3.22] [-5.53] [Integral G] X:-13210.03 Y:519.20 Z:-31212.43 | PC:59
[Immediate] [-5.31] [1.63] [-7.80] [Integral G] X:-13826.88 Y:773.04 Z:-31900.94 | PC:59
[Immediate] [-3.25] [-1.18] [-9.03] [Integral G] X:-14258.21 Y:786.39 Z:-32765.83 | PC:60
[Immediate] [-0.74] [-4.50] [-8.66] [Integral G] X:-14442.52 Y:489.89 Z:-33677.20 | PC:60
[Immediate] [0.27] [-7.52] [-6.29] [Integral G] X:-14447.52 Y:-137.56 Z:-34434.34 | PC:60
[Immediate] [0.61] [-9.27] [-3.14] [Integral G] X:-14407.77 Y:-1004.47 Z:-34901.39 | PC:61
[Immediate] [2.31] [-9.63] [0.40] [Integral G] X:-14258.65 Y:-1974.75 Z:-35021.21 | PC:61
[Immediate] [3.40] [-8.55] [3.86] [Integral G] X:-13946.81 Y:-2889.53 Z:-34773.65 | PC:61
[Immediate] [3.44] [-6.41] [6.80] [Integral G] X:-13601.45 Y:-3637.65 Z:-34205.67 | PC:62
[Immediate] [3.92] [-3.27] [8.62] [Integral G] X:-13228.51 Y:-4108.91 Z:-33402.01 | PC:62
[Immediate] [3.96] [0.83] [9.20] [Integral G] X:-12820.35 Y:-4229.67 Z:-32489.91 | PC:62
[Immediate] [2.72] [4.43] [8.47] [Integral G] X:-12474.08 Y:-3985.38 Z:-31581.80 | PC:63
[Immediate] [1.35] [7.33] [6.47] [Integral G] X:-12263.96 Y:-3404.41 Z:-30803.65 | PC:63
[Immediate] [-0.19] [9.12] [3.47] [Integral G] X:-12185.98 Y:-2578.58 Z:-30272.63 | PC:63
[Immediate] [-2.79] [9.22] [-0.08] [Integral G] X:-12322.31 Y:-1634.55 Z:-30086.96 | PC:64
[Immediate] [-4.91] [7.78] [-2.63] [Integral G] X:-12705.70 Y:-761.07 Z:-30229.33 | PC:64
[Immediate] [-7.00] [5.12] [-3.83] [Integral G] X:-13298.51 Y:-88.35 Z:-30559.45 | PC:64
[Immediate] [-8.66] [2.03] [-2.94] [Integral G] X:-14092.84 Y:277.38 Z:-30920.53 | PC:65
