CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [5.16] [-0.60] [8.64] [Integral G] X:-4834.23 Y:-495.32 Z:72.96 | PC:12.00
[Immediate] [7.04] [2.07] [7.08] [Integral G] X:-4200.28 Y:-396.56 Z:866.29 | PC:12.00
[Immediate] [8.25] [3.77] [4.81] [Integral G] X:-3418.79 Y:-76.81 Z:1456.64 | PC:12.00
[Immediate] [9.30] [3.87] [2.27] [Integral G] X:-2523.62 Y:322.59 Z:1796.63 | PC:13.00
[Immediate] [9.67] [3.66] [0.41] [Integral G] X:-1557.47 Y:700.94 Z:1913.02 | PC:13.00
[Immediate] [9.85] [3.11] [-0.87] [Integral G] X:-571.49 Y:1046.39 Z:1877.42 | PC:13.00
[Immediate] [10.08] [1.83] [-1.56] [Integral G] X:437.14 Y:1294.48 Z:1748.70 | PC:14.00
[Immediate] [10.08] [1.12] [-2.18] [Integral G] X:1455.96 Y:1448.78 Z:1564.43 | PC:14.00
[Immediate] [10.11] [0.20] [-2.26] [Integral G] X:2475.11 Y:1520.79 Z:1335.91 | PC:14.00
[Immediate] [10.13] [-0.70] [-2.10] [Integral G] X:3497.52 Y:1499.08 Z:1113.90 | PC:15.00
[Immediate] [10.11] [-1.56] [-1.68] [Integral G] X:4519.49 Y:1386.71 Z:918.92 | PC:15.00
[Immediate] [9.97] [-2.60] [-1.02] [Integral G] X:5534.83 Y:1181.65 Z:777.52 | PC:15.00
[Immediate] [9.83] [-3.23] [0.11] [Integral G] X:6534.39 Y:884.40 Z:727.75 | PC:16.00
[Immediate] [9.32] [-4.02] [1.82] [Integral G] X:7509.50 Y:526.97 Z:814.19 | PC:16.00
[Immediate] [7.98] [-4.47] [4.62] [Integral G] X:8387.17 Y:83.45 Z:1132.94 | PC:16.00
[Immediate] [6.84] [-3.22] [6.81] [Integral G] X:9131.50 Y:-313.24 Z:1718.97 | PC:17.00
[Immediate] [5.04] [-1.69] [8.57] [Integral G] X:9745.13 Y:-575.73 Z:2491.41 | PC:17.00
[Immediate] [1.41] [0.77] [9.73] [Integral G] X:10080.38 Y:-615.21 Z:3430.98 | PC:17.00
[Immediate] [-2.07] [3.02] [8.95] [Integral G] X:10033.35 Y:-417.04 Z:4386.92 | PC:18.00
[Immediate] [-4.77] [3.64] [7.37] [Integral G] X:9681.63 Y:-64.84 Z:5212.14 | PC:18.00
[Immediate] [-7.46] [3.83] [4.18] [Integral G] X:9053.98 Y:332.75 Z:5794.49 | PC:18.00
[Immediate] [-9.05] [1.60] [1.40] [Integral G] X:8201.46 Y:616.29 Z:6055.74 | PC:19.00
[Immediate] [-9.21] [-1.32] [-0.53] [Integral G] X:7267.35 Y:625.99 Z:6081.91 | PC:19.00
[Immediate] [-8.03] [-4.68] [-1.19] [Integral G] X:6390.24 Y:309.02 Z:5984.19 | PC:20.00
[Immediate] [-5.54] [-7.62] [-1.22] [Integral G] X:5707.70 Y:-334.73 Z:5853.81 | PC:20.00
[Immediate] [-1.98] [-9.42] [-1.01] [Integral G] X:5342.59 Y:-1218.55 Z:5746.45 | PC:20.00
[Immediate] [1.82] [-9.68] [-0.47] [Integral G] X:5360.01 Y:-2197.68 Z:5666.14 | PC:21.00
[Immediate] [5.32] [-8.53] [0.23] [Integral G] X:5750.42 Y:-3120.58 Z:5661.11 | PC:21.00
[Immediate] [8.61] [-5.59] [0.19] [Integral G] X:6467.15 Y:-3845.62 Z:5689.64 | PC:21.00
[Immediate] [10.19] [-1.92] [0.01] [Integral G] X:7419.10 Y:-4251.26 Z:5700.98 | PC:22.00
[Immediate] [10.20] [1.94] [-0.14] [Integral G] X:8460.98 Y:-4268.49 Z:5693.95 | PC:22.00
[Immediate] [8.85] [5.27] [0.51] [Integral G] X:9439.95 Y:-3915.33 Z:5696.06 | PC:22.00
[Immediate] [6.16] [7.72] [2.28] [Integral G] X:10220.02 Y:-3258.62 Z:5822.15 | PC:23.00
[Immediate] [2.64] [8.66] [4.13] [Integral G] X:10673.04 Y:-2420.35 Z:6146.29 | PC:23.00
[Immediate] [-0.06] [7.20] [6.61] [Integral G] X:10802.55 Y:-1601.37 Z:6684.36 | PC:23.00
[Immediate] [-2.70] [4.89] [7.84] [Integral G] X:10672.89 Y:-982.76 Z:7426.42 | PC:24.00
[Immediate] [-5.37] [1.85] [7.59] [Integral G] X:10262.28 Y:-642.48 Z:8210.80 | PC:24.00
[Immediate] [-6.93] [-0.51] [6.31] [Integral G] X:9632.52 Y:-574.93 Z:8915.99 | PC:24.00
[Immediate] [-7.99] [-1.91] [4.42] [Integral G] X:8877.43 Y:-709.09 Z:9463.86 | PC:25.00
[Immediate] [-8.86] [-1.98] [2.11] [Integral G] X:8020.00 Y:-914.67 Z:9785.82 | PC:25.00
