1144,3099
1184,3467
1228,3823
1342,4108
1453,4378
1545,4648
1650,4895
1785,5099
1897,5315
1977,5544
2099,5738
2230,5915
2348,6099
2495,6251
2654,6383
2790,6539
2894,6716
3028,6870
3152,7031
3287,7183
3424,7334
3564,7484
3714,7623
3884,7740
4068,7833
4248,7938
4444,8004
4647,8013
4842,8092
5014,8255
5175,8463
5322,8726
5410,9104
5440,9542
5383,9961
5323,10357
5234,10706
5108,10989
4977,11240
4858,11489
4740,11722
4579,11888
4435,12066
4268,12205
4120,12362
3997,12540
3895,12728
3754,82
3636,252
3517,420
3438,609
3323,777
3187,929
3027,1054
2897,1212
2784,1383
2654,1544
2493,1674
2352,1833
2201,1983
2085,2176
1942,2349
1843,2571
1729,2790
1636,3035
1567,3306
1556,3599
1597,3884
1652,4157
1758,4391
1847,4628
1919,4866
1961,5110
2023,5344
2073,5577
2114,5809
2179,6031
2284,6227
2434,6377
2601,6499
2792,6571
2976,6658
3163,6738
3326,6860
3499,6967
3646,7110
3780,7268
3941,7399
4092,7547
4215,7729
4324,7927
4453,8115
4527,8350
4634,8572
4724,8816
4790,9082
4823,9367
4796,9653
4737,9924
4682,10189
4624,10447
4598,10709
4591,10971
4612,11233
4573,11491
4482,11719
4359,11916
4239,12106
4122,12294
3968,12439
3787,12536
3591,12593
3398,12658
3196,12676
2994,12651
2792,12678
2590,12692
2387,12713
2194,12783
1996,35
1793,63
1590,54
1387,37
1194,12728
1006,12581
834,12331
689,11939
569,11395
550,10645
589,9918
694,9354
849,8995
1027,8776
1226,8695
1425,8624
1623,8556
1823,8509
2026,8484
2229,8496
2430,8531
2632,8517
2835,8502
3037,8475
3240,8484
3439,8443
3631,8377
3833,8351
4033,8310
4231,8262
4433,8231
4636,8217
4836,8170
5029,8074
5232,8039
5431,7959
5611,7731
5759,7324
5859,6701
5939,5925
5936,5015
5839,4288
5729,3709
5599,3266
5448,2937
5266,2751
5093,2562
4930,2369
4773,2181
4613,2013
4472,1827
4311,1678
4136,1560
3943,1490
3767,1383
3592,1277
3407,1192
3228,1095
3064,975
2899,855
2720,756
2525,697
2323,673
2133,590
1963,458
1821,278
1730,40
1704,12570
1740,12302
1808,12052
1843,11796
1933,11568
2038,11357
2148,11157
2275,10978
2416,10818
2526,10635
2645,10462
2795,10321
2972,10221
3147,10117
3338,10047
3524,9964
3717,9898
3912,9839
4114,9818
4310,9755
4503,9677
4678,9545
4865,9434
5053,9315
5209,9091
5325,8774
5400,8385
5475,7968
5549,7519
5532,7022
5429,6619
5313,6273
5146,6061
4967,5902
4771,5823
4590,5699
4421,5558
4277,5389
4164,5196
4056,5005
3953,4815
3816,4657
3666,4514
3523,4367
3379,4222
