0.07	-42.01	21.16	100	-100
0.05	-42.01	21.16	-3	3
0.62	-42.01	21.16	-100	100
0.05	-42.01	21.16	-200	200
12.91	0.51	21.16	-298	298
0.07	-42.01	21.16	-396	396
0.61	-42.01	21.16	-493	493
0.05	-42.01	21.16	-590	590
0.07	-42.01	21.16	-687	687
0.05	-42.01	21.16	-784	784
0.05	-42.01	21.16	-881	881
0.07	-42.01	21.16	-979	979
-67.31	-59.83	5.84	-1007	1079
0.07	-42.01	21.16	-1093	1181
0.07	-42.01	21.16	-1168	1282
0.05	-42.01	21.16	-1265	1379
0.07	-42.01	21.16	-1363	1477
0.07	-42.01	21.16	-1461	1575
0.07	-42.01	21.16	-1559	1673
0.05	-42.01	21.16	-1656	1770
0.63	-42.01	21.16	-1754	1868
0.98	0.18	0.46	-1852	1966
0.07	-42.01	21.16	-1950	2064
0.66	-42.01	21.16	-2048	2162
0.60	-42.01	21.16	-2146	2260
0.63	-42.01	21.16	-2205	2361
0.07	-42.01	21.16	-2203	2464
0.07	-42.01	21.16	-2112	2566
-67.31	55.33	5.84	-2011	2667
0.07	-42.01	21.16	-1908	2770
0.05	-42.01	21.16	-1809	2869
0.62	-42.01	21.16	-1706	2972
0.05	-42.01	21.16	-1603	3075
0.61	-42.01	21.16	-1500	3178
5.56	55.67	5.84	-1396	3282
0.05	-42.01	21.16	-1293	3385
0.05	-42.01	21.16	-1196	3482
0.07	-42.01	21.16	-1099	3579
0.07	-42.01	21.16	-995	3683
0.61	-42.01	21.16	-892	3786
0.62	-42.01	21.16	-792	3886
0.07	-42.01	21.16	-688	3990
0.60	-42.01	21.16	-584	4094
0.05	-42.01	21.16	-481	4197
0.07	-42.01	21.16	-378	4300
0.05	-42.01	21.16	-275	4403
0.37	-42.01	21.16	-171	4507
-67.31	55.33	5.84	-67	4611
0.07	-42.01	21.16	36	4714
0.07	-42.01	21.16	139	4817
0.61	-42.01	21.16	242	4920
0.05	-42.01	21.16	346	5024
0.05	-42.01	21.16	449	5127
0.60	-42.01	21.16	546	5224
0.63	-42.01	21.16	649	5327
0.61	-42.01	21.16	753	5431
0.05	-42.01	21.16	853	5531
0.07	0.26	0.56	951	5629
