
-0.02	9.64	0.25	102	102
0.14	9.60	0.02	179	203
0.37	9.58	-0.22	265	304
0.61	9.54	-0.46	365	404
0.84	9.48	-0.68	462	501
1.07	9.42	-0.89	559	598
1.30	9.33	-1.11	659	698
1.57	9.24	-1.36	762	801
1.77	9.16	-1.56	859	898
2.03	9.05	-1.78	963	1002
2.28	8.95	-1.99	1067	1106
2.53	8.80	-2.20	1169	1208
2.76	8.66	-2.39	1273	1312
2.99	8.50	-2.59	1376	1415
3.22	8.36	-2.75	1479	1518
3.48	8.18	-2.92	1582	1621
3.69	8.01	-3.09	1682	1721
3.92	7.84	-3.25	1785	1824
4.14	7.63	-3.37	1888	1927
4.37	7.44	-3.53	1991	2030
4.59	7.24	-3.65	2094	2133
0.06	-20.91	10.74	2197	2236
5.03	6.77	-3.85	2300	2339
5.21	6.60	-3.92	2397	2436
5.40	6.35	-4.02	2500	2539
5.62	6.14	-4.08	2597	2636
5.84	5.91	-4.13	2697	2736
6.01	5.79	-4.09	2796	2753
6.21	5.58	-4.13	2900	2857
6.40	5.31	-4.15	3003	2960
6.59	5.06	-4.16	3106	3063
6.78	4.82	-4.13	3209	3166
6.93	4.60	-4.14	3306	3263
7.02	4.43	-4.21	3365	3364
6.92	4.39	-4.38	3268	3461
0.06	0.22	0.41	3170	3559
6.60	4.33	-4.83	3072	3657
6.39	4.30	-5.09	2974	3755
6.23	4.23	-5.32	2871	3858
6.05	4.15	-5.54	2774	3955
5.86	4.09	-5.75	2677	4052
5.68	4.00	-6.01	2577	4152
5.50	3.91	-6.20	2480	4249
5.31	3.80	-6.42	2384	4345
5.11	3.68	-6.61	2287	4442
4.91	3.56	-6.84	2190	4539
4.73	3.40	-7.03	2093	4636
4.54	3.28	-7.18	1995	4734
4.32	3.11	-7.38	1898	4831
4.11	2.95	-7.55	1801	4928
3.89	2.79	-7.71	1703	5026
3.71	2.60	-7.87	1606	5123
3.49	2.42	-8.04	1510	5219
3.26	2.24	-8.16	1413	5316
3.04	2.02	-8.29	1310	5419
2.85	1.80	-8.43	1212	5517
2.59	1.60	-8.54	1109	5620
2.37	1.36	-8.65	1006	5723
2.14	1.16	-8.75	909	5820
1.93	0.92	-8.81	813	5916
1.70	0.69	-8.87	716	6013
1.46	0.45	-8.94	620	6109
1.24	0.24	-9.01	522	6207
1.04	-0.01	-9.02	425	6304
0.80	-0.24	-9.06	327	6402
0.56	-0.48	-9.07	230	6499
0.52	-0.72	-9.07	209	6597
0.68	-0.94	-9.02	288	6698
0.91	-1.18	-8.97	387	6797
1.15	-1.41	-8.94	484	6894
1.39	-1.64	-8.87	587	6997
1.64	-1.84	-8.79	684	7094
1.83	-2.08	-8.71	765	7195
2.05	-2.26	-8.60	862	7292
2.29	-2.46	-8.51	959	7389
2.48	-2.67	-8.38	1038	7490
2.74	-2.88	-8.25	1141	7593
2.96	-3.08	-8.10	1243	7695
3.19	-3.26	-7.96	1346	7798
3.46	-3.44	-7.79	1449	7901
3.68	-3.60	-7.61	1546	7998
3.88	-3.77	-7.46	1649	8101
4.11	-3.92	-7.26	1752	8204
4.35	-4.06	-7.06	1854	8306
4.57	-4.20	-6.85	1954	8406
4.81	-4.31	-6.65	2057	8509
4.99	-4.43	-6.45	2159	8611
5.21	-4.53	-6.24	2261	8713
5.43	-4.62	-5.99	2364	8816
5.65	-4.69	-5.74	2468	8920
5.84	-4.76	-5.54	2565	9017
6.03	-4.83	-5.29	2667	9119
6.21	-4.87	-5.07	2771	9223
6.42	-4.90	-4.80	2874	9326
6.60	-4.91	-4.58	2971	9423
6.79	-4.91	-4.32	3074	9526
6.89	-4.95	-4.13	3139	9627
6.83	-5.14	-4.05	3087	9728
6.70	-5.36	-3.99	2990	9825
6.53	-5.60	-4.00	2892	9923
6.34	-5.83	-3.95	2795	10020
6.25	-6.01	-3.86	2744	10122
6.25	-6.13	-3.69	2730	10225
6.30	-6.19	-3.52	2771	10325
6.16	-6.41	-3.43	2694	10426
6.01	-6.61	-3.35	2597	10523
5.84	-6.82	-3.26	2500	10620
5.64	-7.05	-3.16	2403	10717
5.44	-7.26	-3.05	2305	10815
5.24	-7.46	-2.94	2209	10911
5.07	-7.66	-2.81	2112	11008
4.88	-7.84	-2.65	2015	11105
4.67	-8.03	-2.54	1918	11202
4.44	-8.20	-2.50	1818	11237
4.24	-8.26	-2.63	1719	11188
4.03	-8.42	-2.57	1620	11241
3.81	-8.51	-2.55	1520	11269
3.57	-8.64	-2.50	1419	11310
3.36	-8.78	-2.30	1322	11407
3.17	-8.94	-2.13	1220	11509
2.90	-9.04	-2.05	1119	11563
2.67	-9.13	-2.07	1020	11545
2.42	-9.18	-2.18	920	11512
2.21	-9.15	-2.40	820	11412
1.99	-9.12	-2.63	722	11314
1.75	-9.09	-2.85	625	11217
1.49	-9.06	-3.12	527	11119
1.27	-8.99	-3.30	429	11021
1.18	-8.91	-3.55	392	10922
1.32	-8.77	-3.73	467	10823
1.52	-8.64	-3.93	565	10725
1.74	-8.48	-4.11	662	10628
1.99	-8.33	-4.29	758	10532
2.20	-8.16	-4.44	856	10434
2.42	-7.99	-4.61	953	10337
2.65	-7.81	-4.77	1051	10239
2.88	-7.61	-4.88	1153	10148
3.11	-7.48	-4.94	1253	10100
3.32	-7.44	-4.87	1352	10124
3.57	-7.45	-4.69	1453	10191
3.78	-7.34	-4.69	1552	10163
